Membership No  Date Joined  Active  
    23301      2020-1-14    no    
    71512      2020-6-1     no    
    71231      2019-5-25    no    
    94071      2020-4-23    no    
    41808      2017-11-2    no    
    66361      2018-9-12    no    
    51629      2015-6-14    no    
    40355      2016-3-22    no    
    96507      2019-4-16    no    
    66424      2015-11-1    no    
    80708      2016-5-9     no    
    42273      2017-6-3     no    
    51889      2020-8-6     no    
    18932      2017-10-20   no    
    63945      2019-1-1     no    
    59358      2020-12-23   no    
