Membership No  Date Joined  Active  
    28675      2018-11-3    yes   
    99832      2018-12-22   yes   
    36866      2015-7-10    yes   
    33190      2016-9-17    yes   
    95656      2018-3-23    yes   
    86193      2016-4-11    yes   
    96368      2020-2-17    yes   
    60650      2017-8-7     yes   
    26279      2018-6-10    yes   
    44792      2018-6-21    yes   
    16017      2019-9-21    yes   
    23656      2015-12-9    yes   
    57819      2018-5-17    yes   
    60553      2019-4-5     yes   
